Tract ID,hdi,e,,,high,bachelor,graduate,edu,school,,edu_idx,median income,
51003010100,7.536925751,84.3,7.625,7.6,92.4,45.2,20.9,7.233333333,87.6,7.885714286,7.450793651,43047,7.534983601
51003010201,6.828476687,77.3,4.708333333,5.5,94.5,48.5,21.3,7.62,87.1,7.742857143,7.660952381,46811,8.116144348
51003010202,8.890989817,80.9,6.208333333,4.1,95.9,67.2,39.1,10.14666667,90.8,8.8,9.697777778,68611,10.76685834
51003010300,7.235719403,81.9,6.625,12.2,87.8,53.2,24.3,7.686666667,80.2,5.771428571,7.048253968,46259,8.033904242
51003010401,6.442462047,80.6,6.083333333,9.8,90.2,42.3,19.1,6.773333333,69.1,2.6,5.382222222,45125,7.861830585
51003010402,7.832350672,83.7,7.375,9.8,90.2,57.8,23.2,8.08,84,6.857142857,7.672380952,49118,8.449671064
51003010500,8.177902627,82.8,7,6.7,93.3,59.4,27.7,8.693333333,87.6,7.885714286,8.424126984,54023,9.109580896
51003010601,6.465263097,79.7,5.708333333,9.2,90.8,49.5,26.5,7.786666667,64.7,1.342857143,5.638730159,46358,8.0487258
51003010602,7.254492855,80.2,5.916666667,3.6,96.4,65.9,34.1,9.76,80,5.714285714,8.411428571,42433,7.435383328
51003010700,5.173888002,76.7,4.458333333,9.3,90.7,35.6,16.7,6.2,63.5,1,4.466666667,37598,6.596664006
51003010800,6.894757521,82.6,6.916666667,7.5,92.5,57.1,23.5,8.206666667,71.1,3.171428571,6.528253968,41250,7.239351928
51003010901,7.098150567,78.6,5.25,7.6,99.1,92.4,42.3,12.25333333,96.6,10.45714286,11.65460318,27348,4.389848524
51003011000,10.35872667,86.3,8.458333333,3.1,96.9,79.5,50.7,11.80666667,92,9.142857143,10.91873016,78486,11.69911651
51003011100,8.274186166,80.7,6.125,5.1,94.9,61.8,32.7,9.293333333,93.8,9.657142857,9.414603175,55391,9.282955323
51003011201,6.248600329,78.5,5.208333333,7,93,49.6,19.2,7.453333333,76.8,4.8,6.568888889,39670,6.968578766
51003011202,9.586252584,87.1,8.791666667,5,95,70.4,36.8,10.14666667,87.3,7.8,9.364444444,67005,10.60264664
51003011301,6.399773692,84.1,7.541666667,15.7,84.3,33.6,10.7,5.24,71.3,3.228571429,4.56952381,40360,7.088130599
51003011302,5.598998442,75.5,3.958333333,18,82,42.7,19.6,6.286666667,76.3,4.657142857,5.743492063,40401,7.09516993
51003011303,6.724930654,80,5.833333333,9.1,90.9,61.7,32.6,9.013333333,62.8,0.8,6.275555556,46473,8.065903073
51003011400,6.148490671,80.7,6.125,16.2,83.8,27.4,9.4,4.706666667,84.9,7.114285714,5.509206349,38780,6.811265664